
2026-05-15 18:48 | #TKFEN | Kat: Trend | Başarı: %100.0 | Fiyat: ₺137.00
2026-05-21 19:09 | #AKBNK | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺62.20
2026-05-21 19:09 | #AKFGY | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺2.64
2026-05-21 19:09 | #AKSEN | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺73.50
2026-05-21 19:09 | #ALBRK | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺7.70
2026-05-21 19:09 | #ARCLK | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺102.00
2026-05-21 19:09 | #ASTOR | Kat: Trend | Başarı: %92.3 | Fiyat: ₺313.75
2026-05-21 19:09 | #BERA | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺15.42
2026-05-21 19:09 | #CANTE | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺1.45
2026-05-21 19:09 | #CIMSA | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺49.74
2026-05-21 19:09 | #ENKAI | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺95.25
2026-05-21 19:09 | #EUREN | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺4.48
2026-05-21 19:09 | #ISCTR | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺12.70
2026-05-21 19:09 | #ISMEN | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺37.18
2026-05-21 19:09 | #KCAER | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺11.01
2026-05-21 19:09 | #TRMET | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺101.30
2026-05-21 19:09 | #MAVI | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺39.54
2026-05-21 19:09 | #ODAS | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺6.70
2026-05-21 19:09 | #PETKM | Kat: Trend | Başarı: %100.0 | Fiyat: ₺22.76
2026-05-21 19:09 | #PNLSN | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺42.72
2026-05-21 19:09 | #SAHOL | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺87.25
2026-05-21 19:09 | #SASA | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺2.53
2026-05-21 19:09 | #SISE | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺42.90
2026-05-21 19:10 | #TCELL | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺106.00
2026-05-21 19:10 | #ULKER | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺111.80
2026-05-21 19:10 | #VESTL | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺25.56
2026-05-21 19:10 | #YKBNK | Kat: Tepki | Başarı: %100.0 | Fiyat: ₺32.12
